index,title,version_name,rank,score,content
889362,新股发行提示,milvus.bow.v7_6,10000,0.0,新股发行提示代码 简称 发行总量 申购价格(元) 申购上限(万股) 申购资金上限(万元) 申购日期 中签结果日期 发行市盈率(倍)网下发行量(万股) 网上发行量(万股)数据截至7月25日21:00数据来源:本报网络数据部
1024489,品今投资:教您明白确切的“风险控制”,milvus.bow.v7_6,1,0.518602192401886,"经常进行投资的人都知道,任何评论信息之后都会强调一句:“投资有风险,投资需谨慎”。可是很多人可能还不太熟悉如何进行风险控制,今天小编就带着这个问题来到了品今控股集团。在该集团办公室,记者看到“中国质量、服务、信誉AAA级示范单位,全国诚信经营十佳示范单位,中国金融业协会会员单位,诚信中国、诚信示范单位,企业诚信评级AA级单位,第七届创建《全国诚信单位光荣榜》上榜企业,中国质量万里行授牌企业及中国优秀民营企业”等各相关部门和行业授予品今集团的各项荣誉。品今集团的专业投资顾问向记者深入的阐述了风险控制。什么是风险和风险管理风险是一种客观存在的、不可避免的,并在一定条件下还带有某些规律性。因此,只能试图将风险减小到最低的程度,而不可能完全避免或消除。降低风险的最有效方法就是要意识并认可风险的存在,积极的去面对、去寻找,才能够有效地控制风险,将风险降低到最小程度。风险管理:是经济单位对风险进行识别、衡量分析,并在此基础上有效地处置和规避风险,降低由风险带来地损失。黄金投资市场的风险特征a、投资风险的广泛性。在黄金投资市场中,从投资研究、行情分析、投资方案、投资决策、风险控制、资金管理、账户安全、不可抗拒因素导致的风险等等,几乎存在于黄金投资的各个环节,因此具有广泛性。b.投资风险存在的客观性。投资风险的客观性不会因为投资者的主观意愿而消逝。投资风险是由不确定的因素作用而形成的,而这些不确定因素是客观存在的,单独投资者不控制所有投资环节,更无法预期到未来影响黄金价格因素的变化,因此投资客观存在。c.投资风险的影响性。进入投资市场一定要有投资风险的意识。因为在投资市场之中,收益和风险是始终是并存的。但多数人首先是从一种负面的角度来考虑风险,甚至认为有风险就会发生亏损。正是由于风险具有消极的、负面的不确定因素,致使得许多人不敢正视,无法客观的看待和面对投资市场,所以举足不前。d.投资风险的相对性和可变性。黄金投资的风险是相对于投资者选择的投资品种而言的,投资黄金现货和期货的结果是截然不同的。前者风险小,但收益低;而后者风险大,但收益很高。所以风险不可一概而论,有很强的相对性。同时,投资风险的可变性也是很强的。由于影响黄金价格的因素在发生变化的过程中,会对投资者的资金造成盈利或亏损的影响,并且有可能出现盈利和亏损的反复变化。投资风险会根据客户资金的盈亏增大、减小,但这种风险不会完全消失。e.投资风险具有一定的可预见性。黄金价格波动受其他因素影响,如:原油和美元的走势、地缘政治因素的变化等等,都将影响黄金价格的波动,对于这些因素的分析对于黄金投资的操作而言具有一定的可预见性。客观、理性的分析将会为投资操作提供一定的指引作用。风险管理的必要性在投资市场如果没有风险管理的意识,会使资金出现危机,失去赢利的机会。主要体现在以下几个方面。可以降低投资的风险率。使用风险管理,可以合理有效的调配资金,把损失降到最低限度,将风险最小化,创造更多的获利机会。从而达到降低投资风险的目的。有助于保持良好的投资心态。这一点至关重要。在资金操作过程中,难免因为失误而造成资金的亏损。如果能够合理的控制风险,当出现亏损时有助于保持良好的投资心态,可以减少情绪慌乱中的盲目操作,降低了连续亏损的可能性。风险管理的实施"
976396,游淮安钵池山景区之知鱼乐栈,milvus.bow.v7_6,10000,0.0,"估计不是淮安人,不容易看明白这帖子标题的意思。淮安的钵池山景区,座落在淮安城偏东的位置,很久很久以前是有一座名叫钵池山的小山,因此山是砂质构成的,被人挖了卖钱当建材了,以至于后来挖光了而没有山了,现在人工在古钵池山的位置堆了一座假山,山南还有一片湖水,叫大口子。现在基本上恢复了古钵池山的风貌。5月25日出差淮安,就住在钵池山景区边上,利用空余时间到这里转了一会。一到景区里,就看到一个牌子,叫“知鱼乐栈”,再一看,居然还是南京市在这里造的这个景,先是没搞明白是怎么回事,后来又看到南通、扬州建的景点,才想到可能是园博会之类的景点,回南京后上网一查才搞清楚,全省除了淮安以外的十二个地级市,于2005年在淮安的钵池山景区,沿大口子湖一圈分别建了十二个主题小景点,南京市建的景点就叫知鱼乐栈,当时这个工程叫江苏省第四届园艺博览会。七年后的今天,再看这个知鱼乐栈景点,已显破败,需要大修了,再不修,不出几年必出事故。"
896091,中国指证日军性侵第一人家人:不愿老人被打扰,milvus.bow.v7_6,10000,0.0,"中新网太原7月5日电(吕玮)“我母亲和人接触时精神很好,但一到晚上就上吐下泻,不希望被外界过多的打扰。”5日,中国指证日军性侵第一人万爱花突发脑梗病重被媒体披露后,引起了社会各方关注,其唯一的养女李拉弟对记者表示。李拉弟说:“很感谢近来外界对母亲的关注,但由于近日被探访过多,身体不支。母亲今年84岁了,一生特别爱照顾人,十分好客。虽然生病在床,受到外人探视时就精神饱满。可是当客人走后,从昨晚起母亲身体急转直下,上吐下泻,一晚上失眠,希望关心母亲的各界人士先于自己联系后,再行探访。”万爱花是中国第一个站出来脱下衣服,用身体和心灵的伤痕,来指证日军性暴力侵害的“慰安妇”。她终身未育,收养一女陪伴。从1992年到现在20年期间,万爱花曾7次赴日控诉,在日本高级法院和各个地方法院申诉几十次之多,且每次都出庭作证,然而法院却每次以失去时效和个人不能起诉政府为由,一次次将其驳回。现在老人的身体却每况愈下,从2005年开始便陆续住进了山西省太原市中医医院。近日万爱花老人突发脑梗,病情危重,再次入院,无钱继续接受治疗的消息被媒体曝光后,引起了中国社会各方关注,许多民间爱心团体纷纷捐款,前来探视的亲朋、媒体络绎不绝。据其主治医师介绍,老人近日身体整体状况已慢慢好转,但是由于年事已高,体力不支,不便外界过多打扰。"
913112,"ASUS(华硕) 华硕 K52系列,华硕 F2系列 16英寸 笔记本电脑",milvus.bow.v7_6,1,0.9388266205787659,"【ASUS(华硕) 华硕 K52系列,华硕 F2系列 16英寸 笔记本电脑】产品搜索"
989462,幸福是 破涕为笑,milvus.bow.v7_6,1,0.6909201741218567,"用心传递爱,幸福来敲门。每周一次的《幸福周刊》又与读者们见面了!这一周,你们幸福了吗?今天的幸福周刊,我们在第一版隆重开展《晒幸福》有奖征集活动征稿,关于幸福和感动,你有可爱的文字、幸福的人和事、感动人的笑脸吗,请寄过来与我们分享吧。“幸福·情感热线”版本周为您提供一个感动人心的情感故事,《你在哪里爱就在哪里》。你会为这对平凡夫妻的爱情祝福吗?“幸福·爱心调解”版提供了3个情感调解的故事,包括本报情感记者网络调解帮一位女网友面对婚姻的裂痕、一个四口之家的艰难调解、一个痛苦家庭成功将网瘾少年拉回头的故事。生活中痛苦总是难免,痛苦中有人关注、有人帮助,一家人破镜重圆、破涕为笑,又何尝不是幸福。幸福不是一帆风顺,而是有备无患。发生家暴事件怎么办?“幸福·危机干预”版为在家庭中陷入恐慌的人们提供了知识和服务导向。而“幸福·万人牵手”版则让剩男剩女们在爱的花园里牵手,相爱永远。“幸福·爱心超市”版为读者们准备了可供消费的幸福商品,幸福不是天上掉下来的,是通过学习、训练、修炼得来。“关爱行动”专题报道着这个城市最善最美的活动,有“关注城市孩子、爱小家爱大家”的戒除药物成瘾公益行动,有深圳市第二届特殊儿童动漫创作大赛公益活动,还有旧物换新大赛的最新信息。约翰·肖尔斯在《许愿树》中说:“没有不可治愈的伤痛,没有不能结束的沉沦,所有失去的,会以另一种方式归来。”"
966370,UME国际影城(华星)06月04日放映安排,milvus.bow.v7_6,10000,0.0,影片s安排如有变动请以影城当日排映为准黑衣人3 IMAX3D版09:00 13:40 18:20 20:20 22:203D 10:50 12:10 14:10 15:20 16:30 17:20 18:50 19:20 20:50 21:20 22:50复仇者联盟 3D 11:00 13:50 15:40 16:10 17:10 18:35 20:00 21:15 22:40人狼大战 09:50 11:50赛德克·巴莱 09:40 14:20 21:50雨果 3D 09:30 11:55 12:55 14:25 16:50 19:15 21:40醉后一夜 19:55神奇海盗团 3D 12:35白雪公主之魔镜魔镜 10:00 12:00 14:00 16:00 18:00
961950,华硕 Pro80系列,milvus.bow.v7_6,10000,0.0,产品系列:华硕 Pro80系列屏幕尺寸:14.1英寸CPU型号:Intel 酷睿2双核 T5500(1CPU主频:1660MHz内存容量:512MB硬盘容量:80GB显卡芯片:nVIDIA GeForce Go7700操作系统:Windows XP 中 更多参数>>
1033454,询问嘉士多价格,milvus.bow.v7_6,10000,0.0,"先挑粘度,再挑品牌,最后挑价格。回去看下狮跑的说明书,你说的这三种机油,从粘度上来说全都是错的(有厂家说明书为证)如果你非得选用嘉实多品牌,我推荐你嘉实多EDGE(黑桶极护)5W-30,市场价格大约在240块钱左右。"
1035647,奔驰ML级ML350 4MATIC 豪华型,milvus.bow.v7_6,10000,0.0,基本参数生产厂商 进口奔驰 年款信息 08款长X宽X高(mm) 4780×1930×1815 轴距(mm) 2915最大功率(kW/rpm) 200/6000 最大扭矩(N.m/rpm) 350/2400-5000轮胎规格 235/60R19 最高车速(km/h) 保修政策 2年/不限公里 保养间隔 10000公里
